@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  7.65174114553211875000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0840e-16  4.4570e+25  6.0577e-04    0
  8.21055499805301718750e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.4149e-17  4.7825e+25  5.6454e-04    0
  8.81017955180256250000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.1770e-17  5.1317e+25  5.2612e-04    0
  9.45359525067501250000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.1018e-17  5.5065e+25  4.9031e-04    0
  1.01440002031854125000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.1680e-17  5.9086e+25  4.5694e-04    0
  1.08848260787215625000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.3570e-17  6.3402e+25  4.2584e-04    0
  1.16797551647142312500e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.6526e-17  6.8032e+25  3.9686e-04    0
  1.25327386695085421875e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.0408e-17  7.3000e+25  3.6985e-04    0
  1.34480163619112781250e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.5095e-17  7.8332e+25  3.4468e-04    0
  1.44301376450327968750e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0480e-17  8.4052e+25  3.2122e-04    0
  1.54839841691714343750e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.6473e-17  9.0191e+25  2.9935e-04    0
  1.66147940961381375000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.2992e-17  9.6777e+25  2.7898e-04    0
  1.78281881356275343750e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.9969e-17  1.0385e+26  2.5999e-04    0
  1.91301974830496718750e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7343e-17  1.1143e+26  2.4230e-04    0
  2.05272937976878968750e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5063e-17  1.1957e+26  2.2581e-04    0
  2.20264213701897781250e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3082e-17  1.2830e+26  2.1044e-04    0
  2.36350316392801656250e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1362e-17  1.3767e+26  1.9612e-04    0
  2.53611202292622562500e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.8679e-18  1.4772e+26  1.8277e-04    0
  2.72132666924022062500e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.5704e-18  1.5851e+26  1.7033e-04    0
  2.92006771537374625000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.4435e-18  1.7009e+26  1.5874e-04    0
  3.13332300702755500000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.4648e-18  1.8251e+26  1.4793e-04    0
  3.36215253320302125000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.6147e-18  1.9584e+26  1.3786e-04    0
  3.60769369489523687500e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.8764e-18  2.1014e+26  1.2848e-04    0
  3.87116695856372000000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.2352e-18  2.2549e+26  1.1974e-04    0
  4.15388192248140812500e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.6784e-18  2.4195e+26  1.1159e-04    0
  4.45724382611482312500e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.1947e-18  2.5962e+26  1.0399e-04    0
  4.78276053489039187500e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.7746e-18  2.7858e+26  9.6915e-05    0
  5.13205003506481937500e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.4098e-18  2.9893e+26  9.0319e-05    0
  5.50684847595289625000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.0929e-18  3.2076e+26  8.4172e-05    0
  5.90901879948676625000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.8177e-18  3.4419e+26  7.8443e-05    0
  6.34056000000002375000e+14  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5787e-18  0.0000e+00  0.0000e+00    0
